KEEN	Card 1	395	Kaplan
KINDLE	Card 1	145	Kaplan
KINETIC	Card 1	401	Kaplan
KNELL	Card 1	405	Kaplan
KUDOS	Card 1	168	Kaplan
LACHRYMOSE	Card 1	81	Kaplan
LACONIC	Card 1	410	Kaplan
LAMENT	Card 1	10	Kaplan
LAMPOON	Card 1	66	Kaplan
LANGUID	Card 1	129	Kaplan
LAPIDARY	Card 1	71	Kaplan
LARCENY	Card 1	199	Kaplan
LARGESS	Card 1	111	Kaplan
LASSITUDE	Card 1	201	Kaplan
LATENT	Card 1	396	Kaplan
LAUD	Card 1	182	Kaplan
LAVISH	Card 1	399	Kaplan
LEERY	Card 1	402	Kaplan
LEGERDEMAIN	Card 1	404	Kaplan
LETHARGIC	Card 1	288	Kaplan
LEVITY	Card 1	406	Kaplan
LIBERAL	Card 1	409	Kaplan
LIBERTINE	Card 1	416	Kaplan
LICENTIOUS	Card 1	418	Kaplan
LIMPID	Card 1	420	Kaplan
LIONIZE	Card 1	422	Kaplan
LISSOME	Card 1	423	Kaplan
LISTLESS	Card 1	426	Kaplan
LIVID	Card 1	429	Kaplan
LOQUACIOUS	Card 1	287	Kaplan
LUCID	Card 1	222	Kaplan
LUGUBRIOUS	Card 1	430	Kaplan
LUMBER	Card 1	431	Kaplan
LUMINOUS	Card 1	35	Kaplan
MACHINATION	Card 1	432	Kaplan
MAELSTROM	Card 1	476	Kaplan
MAGNATE	Card 1	477	Kaplan
MALEDICTION	Card 1	478	Kaplan
MALINGER	Card 1	58	Kaplan
MALLEABLE	Card 1	118	Kaplan
MANNERED	Card 1	479	Kaplan
MAR	Card 1	132	Kaplan
MARTINET	Card 1	480	Kaplan
MAUDLIN	Card 1	485	Kaplan
MENDACIOUS	Card 1	486	Kaplan
MENDICANT	Card 1	487	Kaplan
MERCURIAL	Card 1	488	Kaplan
MERETRICIOUS	Card 1	489	Kaplan
METAPHOR	Card 1	212	Kaplan
METICULOUS	Card 1	205	Kaplan
MILITATE	Card 1	269	Kaplan
MIRTH	Card 1	179	Kaplan
MISANTHROPE	Card 1	74	Kaplan
MISSIVE	Card 1	77	Kaplan
MITIGATE	Card 1	234	Kaplan
MOLLIFY	Card 1	154	Kaplan
MOLT	Card 1	239	Kaplan
MONASTIC	Card 1	22	Kaplan
MONOTONY	Card 1	238	Kaplan
MORES	Card 1	231	Kaplan
MULTIFARIOUS	Card 1	139	Kaplan
MYOPIC	Card 1	270	Kaplan
NADIR	Card 1	301	Kaplan
NAIVE	Card 1	87	Kaplan
NASCENT	Card 1	28	Kaplan
NEOLOGISM	Card 1	99	Kaplan
NEOPHYTE	Card 1	107	Kaplan
NETTLE	Card 1	78	Kaplan
NOISOME	Card 1	211	Kaplan
NOMINAL	Card 1	2	Kaplan
NUANCE	Card 1	5	Kaplan
NUMISMATICS	Card 1	383	Kaplan
OBDURATE	Card 1	385	Kaplan
OBLIQUE	Card 1	398	Kaplan
OBSEQUIOUS	Card 1	400	Kaplan
OBSTINATE	Card 1	110	Kaplan
OBVIATE	Card 1	403	Kaplan
OCCLUDE	Card 1	407	Kaplan
OFFICIOUS	Card 1	408	Kaplan
ONEROUS	Card 1	413	Kaplan
OPAQUE	Card 1	122	Kaplan
OPINE	Card 1	414	Kaplan
OPPROBRIUM	Card 1	425	Kaplan
OROTUND	Card 1	50	Kaplan
OSSIFY	Card 1	126	Kaplan
OSTENSIBLE	Card 1	117	Kaplan
OSTENTATION	Card 1	119	Kaplan
OVERWROUGHT	Card 1	274	Kaplan
PALATIAL	Card 1	219	Kaplan
PALLIATE	Card 1	263	Kaplan
PALLID	Card 1	466	Kaplan
PANACHE	Card 1	467	Kaplan
PANEGYRIC	Card 1	469	Kaplan
PANOPLY	Card 1	471	Kaplan
PARADOX	Card 1	163	Kaplan
PARAGON	Card 1	473	Kaplan
PARE	Card 1	482	Kaplan
PARIAH	Card 1	261	Kaplan
PARLEY	Card 1	42	Kaplan
PARRY	Card 1	236	Kaplan
PASTICHE	Card 1	82	Kaplan
PATHOGENIC	Card 1	24	Kaplan
PECCADILLO	Card 1	157	Kaplan
PEDANT	Card 1	23	Kaplan
PEJORATIVE	Card 1	373	Kaplan
PENURY	Card 1	374	Kaplan
PEREGRINATE	Card 1	323	Kaplan
PERFIDIOUS	Card 1	326	Kaplan
PERFUNCTORY	Card 1	328	Kaplan
PERIPATETIC	Card 1	382	Kaplan
PERMEATE	Card 1	164	Kaplan
PERSPICACIOUS	Card 1	384	Kaplan
PERVADE	Card 1	165	Kaplan
PHALANX	Card 1	388	Kaplan
PHILANTHROPY	Card 1	155	Kaplan
PHILISTINE	Card 1	391	Kaplan
PHLEGMATIC	Card 1	415	Kaplan
PITHY	Card 1	417	Kaplan
PLACATE	Card 1	124	Kaplan
PLASTIC	Card 1	125	Kaplan
PLEBEIAN	Card 1	419	Kaplan
PLETHORA	Card 1	116	Kaplan
PLUCKY	Card 1	421	Kaplan
POLEMIC	Card 1	424	Kaplan
POLITIC	Card 1	427	Kaplan
POLYGLOT	Card 1	221	Kaplan
POSIT	Card 1	262	Kaplan
POTENTATE	Card 1	160	Kaplan
PRAGMATIC	Card 1	76	Kaplan
PRATTLE	Card 1	456	Kaplan
PRECIPITATE	Card 1	457	Kaplan
PRECIS	Card 1	458	Kaplan
PRESCIENT	Card 1	492	Kaplan
PREVARICATE	Card 1	493	Kaplan
PRISTINE	Card 1	153	Kaplan
PROBITY	Card 1	300	Kaplan
PROCLIVITY	Card 1	334	Kaplan
PRODIGAL	Card 1	268	Kaplan
PROFLIGATE	Card 1	214	Kaplan
PROLIFERATE	Card 1	266	Kaplan
PROPITIATE	Card 1	217	Kaplan
PROPRIETY	Card 1	265	Kaplan
PRUDENCE	Card 1	303	Kaplan
PUERILE	Card 1	259	Kaplan
PUGILISM	Card 1	297	Kaplan
